City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ullapool,57.8987,-5.1604,10.19,74,100,2.92,GB,1681606886
1,ushuaia,-54.8,-68.3,6.81,70,75,2.06,AR,1681606827
2,hilo,19.7297,-155.09,27.36,83,35,2.24,US,1681606898
3,camana,-16.6228,-72.7111,22.48,83,88,2.86,PE,1681606898
4,naze,28.3667,129.4833,20.51,60,0,3.69,JP,1681606899
5,port alfred,-33.5906,26.891,14.91,76,63,2.89,ZA,1681606899
6,buritis,-15.6178,-46.4233,24.27,68,77,1.2,BR,1681606900
7,sayyan,15.1718,44.3244,14.73,63,1,1.21,YE,1681606900
8,kapaa,22.0752,-159.319,25.05,71,28,3.13,US,1681606850
9,ostrovnoy,68.0531,39.5131,-6.42,82,11,4.83,RU,1681606902
10,chokurdakh,70.6333,147.9167,-10.89,89,32,4.71,RU,1681606902
11,pevek,69.7008,170.3133,-14.09,89,81,2.25,RU,1681606902
12,berlevag,70.8578,29.0864,-0.11,69,5,5.66,NO,1681606903
13,pershotravneve,51.3929,28.8684,5.51,94,99,3.77,UA,1681606903
14,victoria,22.2855,114.1577,29.13,73,0,2.68,HK,1681606852
15,zhuhai,22.2769,113.5678,27.14,83,0,2.06,CN,1681606823
16,mataura,-46.1927,168.8643,18.66,53,100,1.24,NZ,1681606904
17,dingle,10.9995,122.6711,29.91,65,82,1.17,PH,1681606905
18,kodiak,57.79,-152.4072,1.07,87,100,6.28,US,1681606905
19,thompson,55.7435,-97.8558,5.09,38,40,2.06,CA,1681606906
20,qaanaaq,77.484,-69.3632,-19.22,88,8,2.42,GL,1681606906
21,norman wells,65.282,-126.8329,-6.98,73,100,2.06,CA,1681606907
22,sawakin,19.1059,37.3321,24.89,78,100,4.69,SD,1681606907
23,nikolskoye,59.7035,30.7861,2.94,70,100,2.07,RU,1681606908
24,lorengau,-2.0226,147.2712,27.46,82,100,7.22,PG,1681606908
25,navahrudak,53.6,25.8333,3.32,97,100,4.81,BY,1681606908
